"CdTe - RawData"
"Wavelength nm.","T%"
1268.00,79.81215
1270.00,79.36400
1272.00,78.79810
1274.00,78.09585
1276.00,77.22203
1278.00,76.26701
1280.00,75.23489
1282.00,74.11400
1284.00,73.00258
1286.00,71.86484
1288.00,70.72306
1290.00,69.60149
1292.00,68.42075
1294.00,67.24988
1296.00,66.13155
1298.00,64.99620
1300.00,63.91689
1302.00,62.92164
1304.00,61.94837
1306.00,61.05783
1308.00,60.23011
1310.00,59.41303
1312.00,58.71452
1314.00,58.05967
1316.00,57.49828
1318.00,57.08281
1320.00,56.44423
1322.00,56.10917
1324.00,55.69320
1326.00,55.53777
1328.00,55.46748
1330.00,55.42222
1332.00,55.51258
1334.00,55.64585
1336.00,55.81977
1338.00,56.12595
1340.00,56.45363
1342.00,56.81652
1344.00,57.28255
1346.00,57.73035
1348.00,58.28016
1350.00,58.92738
1352.00,59.56520
1354.00,60.29928
1356.00,61.15794
1358.00,61.99482
1360.00,62.98445
1362.00,64.04874
1364.00,65.08898
1366.00,66.27893
1368.00,67.39982
1370.00,68.52322
1372.00,69.77818
1374.00,70.95524
1376.00,72.17271
1378.00,73.44569
1380.00,74.58940
1382.00,75.80747
1384.00,77.08914
1386.00,78.26241
1388.00,79.50404
1390.00,80.65157
1392.00,81.60954
1394.00,82.64115
1396.00,83.46290
1398.00,84.21214
1400.00,84.99608
1402.00,85.51651
1404.00,85.94460
1406.00,86.30959
1408.00,86.42666
1410.00,86.51699
1412.00,86.48518
1414.00,86.19193
1416.00,85.94095
1418.00,85.46646
1420.00,84.88090
1422.00,84.33973
1424.00,83.58812
1426.00,82.74096
1428.00,81.88157
1430.00,80.84348
1432.00,79.84057
1434.00,78.82879
1436.00,77.64913
1438.00,76.58875
1440.00,75.52216
1442.00,74.36840
1444.00,73.38794
1446.00,72.29073
1448.00,71.21352
1450.00,70.24774
1452.00,69.19955
1454.00,68.26573
1456.00,67.42525
1458.00,66.51761
1460.00,65.92612
1462.00,64.95826
1464.00,64.24830
1466.00,63.50836
1468.00,62.83754
1470.00,62.29346
1472.00,61.68330
1474.00,61.21332
1476.00,60.76769
1478.00,60.32266
1480.00,59.98983
1482.00,59.65914
1484.00,59.35909
1486.00,59.20534
1488.00,58.99816
1490.00,58.84755
1492.00,58.79792
1494.00,58.68828
1496.00,58.71111
1498.00,58.77368
1500.00,58.80707
1502.00,58.96801
1504.00,59.09955
1506.00,59.28146
1508.00,59.56549
1510.00,59.83807
1512.00,60.15209
1514.00,60.55780
1516.00,60.92107
1518.00,61.36771
1520.00,61.84402
1522.00,62.29845
1524.00,62.88092
1526.00,63.48426
1528.00,64.09348
1530.00,64.82903
1532.00,65.52398
1534.00,66.26164
1536.00,67.07392
1538.00,67.78072
1540.00,68.60382
1542.00,69.40298
1544.00,70.18366
1546.00,71.06945
1548.00,71.91151
1550.00,72.77107
1552.00,73.72210
1554.00,74.57365
1556.00,75.51482
1558.00,76.48043
1560.00,77.38174
1562.00,78.34863
1564.00,79.26255
1566.00,80.11067
1568.00,80.99082
1570.00,81.79767
1572.00,82.58979
1574.00,83.41546
1576.00,84.13689
1578.00,84.84799
1580.00,85.50774
1582.00,86.02581
1584.00,86.54407
1586.00,87.03558
1588.00,87.40475
1590.00,87.81782
1592.00,88.09435
1594.00,88.21453
1596.00,88.36594
1598.00,88.37920
1600.00,88.30936
1602.00,88.24794
1604.00,87.99107
1606.00,87.75367
1608.00,87.44667
1610.00,86.98097
1612.00,86.54731
1614.00,86.03868
1616.00,85.41451
1618.00,84.89340
1620.00,84.21778
1622.00,83.46551
1624.00,82.72371
1626.00,81.84758
1628.00,81.02362
1630.00,80.21403
1632.00,79.30313
1634.00,78.45103
1636.00,77.61285
1638.00,76.64223
1640.00,75.76463
1642.00,74.91273
1644.00,74.02679
1646.00,73.28648
1648.00,72.37918
1650.00,71.52968
1652.00,70.71483
1654.00,69.87913
1656.00,69.10157
1658.00,68.44675
1660.00,67.72991
1662.00,67.05432
1664.00,66.47497
1666.00,65.79494
1668.00,65.23649
1670.00,64.66642
1672.00,64.01078
1674.00,63.53344
1676.00,63.02466
1678.00,62.38430
1680.00,61.82797
1682.00,60.99633
1684.00,61.29558
1686.00,60.68262
1688.00,60.47403
1690.00,60.20666
1692.00,59.68951
1694.00,59.67587
1696.00,59.28045
1698.00,58.88376
1700.00,58.93457
1702.00,58.47180
1704.00,58.18188
1706.00,58.43223
1708.00,58.02177
1710.00,58.10682
1712.00,58.40474
1714.00,57.75969
1716.00,58.03798
1718.00,58.12129
1720.00,57.62361
1722.00,58.11378
1724.00,57.75153
1726.00,57.39561
1728.00,58.40333
1730.00,58.76332
1732.00,58.05957
1734.00,58.84682
1736.00,58.82523
1738.00,59.36423
1740.00,60.55423
1742.00,60.03206
1744.00,59.29818
1746.00,60.14924
1748.00,59.84284
1750.00,61.64710
1752.00,62.87201
1754.00,60.56154
1756.00,62.21292
1758.00,64.24486
1760.00,63.07238
1762.00,63.85131
1764.00,65.65848
1766.00,62.83882
1768.00,66.87148
1770.00,65.46553
1772.00,63.60283
1774.00,69.37761
1776.00,68.86652
1778.00,67.33272
1780.00,69.94820
1782.00,62.94916
1784.00,69.40343
1786.00,74.69681
1788.00,61.35948
1790.00,61.38115
1792.00,95.66006
1794.00,50.67931
1796.00,57.81066
1798.00,44.50557
1800.00,109.31642
1802.00,112.00021
1804.00,78.29137
1806.00,78.70686
1808.00,78.76410
1810.00,79.36633
1812.00,80.10022
1814.00,80.74892
1816.00,81.74487
1818.00,82.52451
1820.00,83.11657
1822.00,83.36903
1824.00,83.87714
1826.00,84.62885
1828.00,85.72852
1830.00,86.28796
1832.00,86.79368
1834.00,87.10273
1836.00,87.32173
1838.00,87.94713
1840.00,88.44791
1842.00,89.11383
1844.00,89.40157
1846.00,89.59151
1848.00,89.50428
1850.00,89.72112
1852.00,89.82964
1854.00,90.03680
1856.00,90.41188
1858.00,90.09850
1860.00,90.13483
1862.00,89.41739
1864.00,89.93371
1866.00,89.91744
1868.00,90.08033
1870.00,89.48875
1872.00,89.01045
1874.00,88.66985
1876.00,88.16193
1878.00,88.02345
1880.00,87.69214
1882.00,87.45941
1884.00,87.13878
1886.00,86.62197
1888.00,85.99081
1890.00,84.91500
1892.00,84.12540
1894.00,83.69371
1896.00,83.61133
1898.00,83.28764
1900.00,82.43948
1902.00,81.61114
1904.00,80.90525
1906.00,80.74662
1908.00,80.14742
1910.00,79.23354
1912.00,78.42746
1914.00,77.71170
1916.00,77.42946
1918.00,76.73030
1920.00,75.98087
1922.00,74.94138
1924.00,74.20347
1926.00,73.81557
1928.00,73.23681
1930.00,73.02567
1932.00,72.64973
1934.00,73.17371
1936.00,72.57076
1938.00,71.74686
1940.00,70.76490
1942.00,70.46147
1944.00,70.03989
1946.00,69.14349
1948.00,68.47478
1950.00,68.33357
1952.00,68.48064
1954.00,67.85455
1956.00,67.29220
1958.00,66.06528
1960.00,65.81754
1962.00,65.54148
1964.00,65.89539
1966.00,65.83019
1968.00,65.14248
1970.00,64.41610
1972.00,64.17010
1974.00,63.68199
1976.00,63.65204
1978.00,63.92225
1980.00,64.07381
1982.00,63.93699
1984.00,63.15079
1986.00,62.98924
1988.00,62.59034
1990.00,62.10679
1992.00,61.91094
1994.00,61.63137
1996.00,61.87982
1998.00,61.94044
2000.00,61.64375
2002.00,61.12933
2004.00,60.82383
2006.00,60.90102
2008.00,60.82295
2010.00,60.96622
2012.00,60.98140
2014.00,61.16173
2016.00,60.55278
2018.00,60.72434
2020.00,60.17611
2022.00,60.24025
2024.00,59.67784
2026.00,60.23695
2028.00,60.58746
2030.00,61.13381
2032.00,61.28459
2034.00,60.97640
2036.00,61.24729
2038.00,61.13480
2040.00,61.72230
2042.00,61.35846
2044.00,61.17866
2046.00,61.41150
2048.00,62.01072
2050.00,61.96232
2052.00,61.19621
2054.00,60.43288
2056.00,61.08571
2058.00,61.54535
2060.00,61.84674
2062.00,62.12189
2064.00,62.51609
2066.00,63.26382
2068.00,63.76731
2070.00,64.18611
2072.00,64.60790
2074.00,64.07327
2076.00,64.20919
2078.00,64.06967
2080.00,65.31150
2082.00,65.66229
2084.00,66.62408
2086.00,66.70438
2088.00,67.16523
2090.00,66.93053
2092.00,67.38174
2094.00,67.63308
2096.00,68.61072
2098.00,68.81672
2100.00,69.28693
2102.00,69.66830
2104.00,69.63519
2106.00,70.08168
2108.00,70.34123
2110.00,70.95132
2112.00,72.26389
2114.00,72.65515
2116.00,72.64750
2118.00,72.50998
2120.00,73.42623
2122.00,74.99652
2124.00,75.95353
2126.00,75.73590
2128.00,75.31059
2130.00,75.27866
2132.00,76.25340
2134.00,77.03072
2136.00,77.18241
2138.00,78.05630
2140.00,78.68455
2142.00,79.22575
2144.00,79.27615
2146.00,79.30981
2148.00,80.66463
2150.00,80.99918
2152.00,81.30634
2154.00,80.91521
2156.00,82.21655
2158.00,83.40216
2160.00,84.26321
2162.00,84.29234
2164.00,85.57563
2166.00,86.66356
2168.00,86.52792
2170.00,86.36489
2172.00,86.94492
2174.00,87.77427
2176.00,87.50317
2178.00,86.21661
2180.00,85.77223
2182.00,85.36861
2184.00,86.06615
2186.00,86.74839
2188.00,88.85463
2190.00,87.65088
2192.00,86.90418
2194.00,84.72652
2196.00,86.29034
2198.00,86.88145
2200.00,89.44771
2202.00,90.31594
2204.00,91.00970
2206.00,89.40842
2208.00,89.21093
2210.00,88.56322
2212.00,89.80675
2214.00,87.61670
2216.00,88.59708
2218.00,86.76681
2220.00,87.58315
2222.00,85.74574
2224.00,85.73520
2226.00,84.60232
2228.00,84.08566
2230.00,85.18655
2232.00,85.00654
2234.00,86.92893
2236.00,86.57121
2238.00,88.10886
2240.00,86.66385
2242.00,86.27708
2244.00,85.57145
2246.00,84.61195
2248.00,83.52246
2250.00,81.99310
2252.00,82.31385
2254.00,81.49829
2256.00,82.59058
2258.00,81.86417
2260.00,82.47903
2262.00,81.71912
2264.00,81.47554
2266.00,80.15470
2268.00,80.00473
2270.00,80.10454
2272.00,80.00886
2274.00,79.88380
2276.00,78.55436
2278.00,79.01170
2280.00,78.46823
2282.00,78.11787
2284.00,76.71115
2286.00,76.06966
2288.00,76.85413
2290.00,76.98257
2292.00,75.85609
2294.00,75.52018
2296.00,75.18578
2298.00,75.61224
2300.00,73.76149
2302.00,72.85324
2304.00,72.34168
2306.00,71.77452
2308.00,71.63030
2310.00,71.44708
2312.00,72.91271
2314.00,72.69525
2316.00,71.64027
2318.00,71.52214
2320.00,69.74738
2322.00,68.69710
2324.00,67.94162
2326.00,68.92362
2328.00,69.12998
2330.00,67.04736
2332.00,65.69157
2334.00,65.07342
2336.00,66.36226
2338.00,66.29741
2340.00,67.20129
2342.00,66.08528
2344.00,67.72705
2346.00,66.33138
2348.00,65.31081
2350.00,63.78255
2352.00,64.29472
2354.00,64.55801
2356.00,64.09264
2358.00,63.61747
2360.00,63.43776
2362.00,62.68976
2364.00,62.33887
2366.00,62.86364
2368.00,62.47292
2370.00,61.52570
2372.00,59.50694
2374.00,59.71787
2376.00,61.05442
2378.00,62.34086
2380.00,62.37848
2382.00,61.49318
2384.00,60.16306
2386.00,60.11143
2388.00,59.80618
2390.00,61.04689
2392.00,61.26649
2394.00,60.71284
2396.00,59.39675
2398.00,59.65477
2400.00,59.24176
2402.00,59.97372
2404.00,57.98048
2406.00,59.08587
2408.00,58.22628
2410.00,59.47434
2412.00,59.50547
2414.00,58.51226
2416.00,58.36223
2418.00,56.80513
2420.00,56.30185
2422.00,53.61374
2424.00,53.05179
2426.00,52.96217
2428.00,54.63862
2430.00,57.59077
2432.00,58.77182
2434.00,58.05203
2436.00,56.67159
2438.00,58.49326
2440.00,60.94435
2442.00,60.25508
2444.00,57.89924
2446.00,56.58662
2448.00,54.65477
2450.00,54.17817
2452.00,55.16219
2454.00,57.21655
2456.00,58.65835
2458.00,56.43953
2460.00,55.98257
2462.00,56.29740
2464.00,58.47974
2466.00,60.55463
2468.00,63.00323
2470.00,61.86792
2472.00,59.12335
2474.00,54.89464
2476.00,54.64748
2478.00,58.22199
2480.00,56.99654
2482.00,58.43837
2484.00,55.79789
2486.00,57.42326
2488.00,55.04885
2490.00,57.27854
2492.00,58.40059
2494.00,59.14650
2496.00,57.10210
2498.00,57.75191
2500.00,56.68150
2502.00,54.99199
2504.00,54.07013
2506.00,54.55272
2508.00,55.41723
2510.00,55.69017
2512.00,57.48407
2514.00,57.30023
2516.00,58.52531
2518.00,56.33833
2520.00,57.24769
2522.00,55.46606
2524.00,56.23401
2526.00,56.40739
2528.00,56.41385
2530.00,59.39069
2532.00,58.96491
2534.00,58.48186
2536.00,56.94859
2538.00,56.76637
2540.00,57.68481
2542.00,54.76814
2544.00,56.17678
2546.00,55.81278
2548.00,58.88746
2550.00,58.31429
2552.00,59.33585
2554.00,57.62473
2556.00,59.05891
2558.00,57.81472
2560.00,59.06372
2562.00,55.33912
2564.00,58.23114
2566.00,61.39503
2568.00,64.35252
2570.00,67.65745
2572.00,66.59753
2574.00,67.70454
2576.00,65.02996
2578.00,65.98485
2580.00,69.29626
2582.00,68.15598
2584.00,66.76498
2586.00,61.59217
2588.00,61.00114
2590.00,66.58463
2592.00,71.76479
2594.00,73.20107
2596.00,68.06222
2598.00,69.98853
2600.00,74.65473
